CustomerID,Lookalikes
C0001,"[('C0191', 0.9851), ('C0069', 0.982), ('C0137', 0.9696)]"
C0002,"[('C0031', 0.9973), ('C0029', 0.9855), ('C0197', 0.9604)]"
C0003,"[('C0176', 0.9547), ('C0073', 0.8927), ('C0144', 0.8913)]"
C0004,"[('C0068', 0.9909), ('C0017', 0.9893), ('C0113', 0.989)]"
C0005,"[('C0123', 0.9997), ('C0078', 0.9947), ('C0036', 0.993)]"
C0006,"[('C0168', 0.8982), ('C0026', 0.8001), ('C0066', 0.7632)]"
C0007,"[('C0150', 0.9862), ('C0130', 0.9834), ('C0120', 0.9821)]"
C0008,"[('C0084', 0.9687), ('C0081', 0.964), ('C0162', 0.9553)]"
C0009,"[('C0198', 0.9838), ('C0186', 0.9756), ('C0043', 0.9741)]"
C0010,"[('C0002', 0.9497), ('C0031', 0.9473), ('C0094', 0.9291)]"
C0011,"[('C0048', 0.9699), ('C0064', 0.9659), ('C0056', 0.9459)]"
C0012,"[('C0101', 0.9828), ('C0143', 0.9815), ('C0057', 0.9682)]"
C0013,"[('C0141', 0.9979), ('C0059', 0.9948), ('C0104', 0.9938)]"
C0014,"[('C0058', 0.9988), ('C0020', 0.9983), ('C0080', 0.9961)]"
C0015,"[('C0063', 0.9979), ('C0095', 0.9976), ('C0060', 0.9966)]"
C0016,"[('C0107', 0.9727), ('C0183', 0.8615), ('C0118', 0.7921)]"
C0017,"[('C0162', 0.9944), ('C0084', 0.9906), ('C0004', 0.9893)]"
C0018,"[('C0149', 0.9812), ('C0182', 0.9228), ('C0170', 0.9017)]"
C0019,"[('C0172', 0.9797), ('C0116', 0.9607), ('C0157', 0.8396)]"
C0020,"[('C0014', 0.9983), ('C0110', 0.9976), ('C0058', 0.9966)]"
